Name,Intelligence,Strength,Speed,Durability,Power,Combat,Full name,Alignment,Gender,Race,Height (cm),Weight (kg),Eye color,Hair color,Occupation
3-D Man,80,35,45,35,25,55,Charles Chandler,good,Male,-,188,90,Brown,Grey,Test pilot  adventurer
Abe Sapien,95,30,35,65,100,85,Abraham Sapien,good,Male,Icthyo Sapien,191,65,Blue,No Hair,Paranormal Investigator
Abin Sur,80,90,55,65,100,65,-,good,Male,Ungaran,185,90,Blue,No Hair,Green Lantern  former history professor
A-Bomb,75,100,20,80,25,65,Richard Milhouse Jones,good,Male,Human,203,441,Yellow,No Hair,Musician  adventurer  author; formerly talk show host
Abomination,85,80,55,90,65,95,Emil Blonsky,bad,Male,Human / Radiation,203,441,Green,No Hair,Ex-Spy
Abraxas,100,100,85,100,100,55,Abraxas,bad,Male,Cosmic Entity,0,0,Blue,Black,Dimensional destroyer
Absorbing Man,75,80,25,100,100,65,Carl Creel,bad,Male,Human,193,122,Blue,No Hair,Professional criminal; former professional boxer
Adam Monroe,85,10,15,100,100,65,-,good,Male,-,0,0,Blue,Blond,former samurai swordsman  former British mercenary commander  former soldier in the Confederate Army
Adam Strange,85,10,35,40,40,50,Adam Strange,good,Male,Human,185,88,Blue,Blond,Adventurer  archaelogist  ambassador
Agent 13,80,40,45,50,45,85,Sharon Carter,good,Female,-,173,61,Blue,Blond,Agent of SHIELD
Agent Bob,60,10,15,5,5,20,Bob,good,Male,Human,178,81,Brown,Brown,Mercenary  janitor; former pirate  terrorist
Agent Zero,90,30,40,80,75,95,Christoph Nord,good,Male,-,191,104,-,-,Mercenary  former government operative  freedom fighter
Air-Walker,80,85,100,85,100,40,Gabriel Lan,bad,Male,-,188,108,Blue,White,Former starship captain  Herald of Galactus
Ajax,80,50,35,80,35,55,Francis,bad,Male,Cyborg,193,90,Brown,Black,-
Alex Mercer,80,80,45,90,100,50,Alexander J. Mercer,bad,Male,Human,0,0,-,-,-
Alex Woolsly,55,35,40,45,35,40,Alex Woolsly,good,Male,-,0,0,-,-,Employee at Sam's Comics
Alfred Pennyworth,85,10,20,10,10,55,Alfred Thaddeus Crane Pennyworth,good,Male,Human,178,72,Blue,Black,Butler; Caretaker  former Actor; Field Medic; Government Agent
Alien,80,30,45,90,60,60,Xenomorph,bad,Male,Xenomorph XX121,244,169,-,No Hair,-
Amazo,85,100,85,100,100,100,-,bad,Male,Android,257,173,Red,-,-
Ammo,35,45,35,35,25,70,-,bad,Male,Human,188,101,Brown,Black,Gang leader   criminal   former soldier
Ando Masahashi,35,25,30,60,65,30,Ando Masahashi,good,Male,-,0,0,-,-,Yamagato Industries computer programmer
Angel,90,30,60,90,100,75,Liam,good,Male,Vampire,0,0,-,-,-
Angel,85,15,50,65,30,45,Warren Kenneth Worthington III,good,Male,-,183,68,Blue,Blond,Adventurer  chairman & principal stockholder of Worthington Industries  former terrorist
Angel Dust,75,55,25,45,20,30,Christina,good,Female,Mutant,165,57,Yellow,Black,-
Angel Salvadore,75,10,30,30,60,60,Angel Salvadore Bohusk,good,Female,-,163,54,Brown,Black,-
Angela,95,100,100,100,100,100,-,bad,Female,-,0,0,-,-,-
Animal Man,80,50,50,85,75,80,Bernhard Baker,good,Male,Human,183,83,Blue,Blond,-
Annihilus,90,80,50,60,60,65,Annihilus,bad,Male,-,180,90,Green,No Hair,Conqueror  scavenger
Anti-Monitor,95,100,50,100,100,90,-,bad,Male,God / Eternal,6100,0,Yellow,No Hair,-
Anti-Spawn,75,60,55,65,70,65,Jason Wynn,bad,Male,-,0,0,-,-,-
Anti-Venom,90,60,65,90,100,85,Edward Charles Allan Brock,-,Male,Symbiote,229,358,Blue,Blond,Vigilante; former journalist for the Daily Globe
Ant-Man,100,20,25,30,35,35,Henry Jonathan Pym,good,Male,Human,211,122,Blue,Blond,Adventurer  Biochemist  former manager of Avengers Compound
Ant-Man II,90,20,20,40,55,30,Scott Lang,good,Male,Human,183,86,Blue,Blond,Electronics Technician 
Apocalypse,100,100,35,100,100,60,En Sabah Nur,bad,Male,Mutant,213,135,Red,Black,Student; formerly Conqueror; Scientist
Aquababy,60,20,15,15,40,15,Arthur Curry  Jr.,good,Male,-,0,0,Blue,Blond,-
Aqualad,85,45,45,75,90,60,Garth,good,Male,Atlantean,178,106,Blue,Black,Adventurer; Magician  former Sidekick
Aquaman,95,85,80,80,100,80,Orin,good,Male,Atlantean,185,146,Blue,Blond,Protector of the Seas and Oceans  King of Poseidonis
Arachne,80,50,50,70,75,70,Julia Carpenter,good,Female,Human,175,63,Blue,Blond,Adventurer  fugitive  former government agent
Archangel,85,15,60,65,35,45,Warren Kenneth Worthington III,good,Male,Mutant,183,68,Blue,Blond,Adventurer  Chairman & principal stockholder of Worthington Industries  Multi-Millionaire  Heir  former terrorist
Arclight,75,65,25,45,55,70,Philippa Sontag,bad,Female,-,173,57,Violet,Purple,Terrorist
Ardina,85,100,100,80,100,25,-,good,Female,Alien,193,98,White,Orange,-
Ares,90,85,35,80,85,105,-,good,Male,-,185,270,Brown,Brown,-
Ares,90,100,75,100,100,100,-,neutral,Male,God / Eternal,208,162,Red,Black,God of Conflict  God of War
Ariel,80,10,15,15,95,30,Ariel,good,Female,-,165,59,Purple,Pink,Leader  refugee alien; former alien mutant-hunter and hedonist
Armor,80,65,15,80,55,55,Hisako Ichiki,good,Female,-,163,50,Black,Black,Adventurer  student
Arsenal,80,55,60,60,65,85,Roy William Harper  Jr.,good,Male,Human,0,0,-,-,-
Atlas,85,100,45,100,30,80,-,bad,Male,God / Eternal,198,126,Blue,Brown,-
Atlas,85,80,25,100,100,50,Erik Stephan Josten,good,Male,Mutant,183,101,Brown,Red,Adventurer; former professional criminal  mercenary  dock worker  soldier
Atom,90,95,75,95,90,85,Albert Pratt,good,Male,-,178,68,Blue,Red,Adventurer  Retired Professor of Nuclear Physics
Atom Girl,75,10,25,30,40,45,Salu Digby,good,Female,-,168,54,Black,Black,-
Atom II,95,10,35,45,40,60,Raymond Palmer,good,Male,Human,183,81,Brown,Auburn,Physics Professor
Atom IV,85,55,55,55,60,65,Ryan Choi,good,Male,-,0,72,Brown,Black,Professor of nuclear physics at Ivy University
Aurora,85,10,100,60,75,60,Jeanne-Marie Beaubier,good,Female,Mutant,180,63,Blue,Black,Adventurer; former terrorist  nun  history/geography teacher
Azazel,80,15,50,95,100,80,-,bad,Male,Neyaphem,183,67,Yellow,Black,Leader of the Neyaphem
Azrael,85,20,20,20,35,80,Michael Washington Lane,good,Male,Human,0,0,Brown,Black,Former Police Officer  vigilante
Aztar,95,95,95,95,95,90,Aztar,good,Male,-,0,0,-,-,-
Bananaman,60,50,35,80,30,30,-,good,Male,Human,0,0,-,-,-
Bane,95,40,25,60,55,95,-,bad,Male,Human,203,180,-,-,-
Banshee,80,10,60,40,65,70,Sean Cassidy,good,Male,Human,183,77,Green,Strawberry Blond,Currently founder and director of operation for X-Corps  formerly Adventurer and Headmaster at the Massachusetts Academy  in charge of Generation X  Interpol Inspector and Agent  freelance detective  professional criminal  involuntary operative for Factor
Bantam,65,55,25,55,25,60,Roberto Velasquez,good,Male,-,165,54,Brown,Black,Adventurer  boxing trainer  former boxer
Batgirl,95,15,35,40,35,90,Barbara Gordon,good,Female,Human,170,57,Green,Red,-
Batgirl,70,45,50,40,45,70,Mary Elizabeth Kane,good,Female,-,0,0,-,-,Crime-fighter
Batgirl III,80,65,70,70,65,90,Helena Rosa Bertinelli,good,Female,-,0,0,-,-,-
Batgirl IV,85,15,30,60,50,100,Cassandra Cain,good,Female,Human,165,52,Green,Black,-
Batgirl VI,90,10,25,30,25,80,Stephanie Brown,good,Female,-,168,61,Blue,Blond,College student at Gotham University
Batman,95,40,30,55,65,90,Terrence McGinnis,good,Male,Human,178,77,Blue,Black,-
Batman,100,20,30,50,50,100,Bruce Wayne,good,Male,Human,188,95,blue,black,Businessman
Batman II,95,15,35,30,40,100,Richard John Grayson,good,Male,Human,178,79,Blue,Black,-
Battlestar,80,55,35,75,50,75,Lemar Hoskins,good,Male,-,198,133,Brown,Black,Former wrestler  federal operative
Batwoman V,95,10,30,25,30,80,Katherine Rebecca Kane,good,Female,Human,178,0,Green,Red,-
Beast,100,50,40,60,45,85,Henry Philip McCoy,good,Male,Mutant,180,181,Blue,Blue,Biochemist  formerly Xavier Institute for Higher Learning science and math Instructor  mutant activist  college lecturer  researcher  professional wrestler
Beast Boy,80,30,50,70,80,40,Garfield Mark Logan,good,Male,Human,173,68,Green,Green,Adventurer  Struggling Actor
Beetle,70,60,65,65,75,65,-,bad,Male,-,0,0,-,-,-
Ben 10,90,100,100,100,100,75,Benjamin Kirby Tennyson,good,Male,-,0,0,-,-,-
Beta Ray Bill,85,80,35,95,100,85,Beta Ray Bill (translation of his Korbinite name),good,Male,-,201,216,-,No Hair,Guardian of the Korbinite race
Beyonder,100,100,100,100,100,85,-,good,Male,God / Eternal,0,0,-,-,Former student
Bi-Beast,95,100,60,75,30,55,-,good,Male,Android,229,158,Black,None,-
Big Barda,95,100,80,100,100,100,Barda Free,bad,Female,New God,188,135,Blue,Black,-
Big Daddy,75,10,15,35,25,65,Damon Macready,good,Male,-,0,0,-,-,-
Big Man,90,15,25,30,20,70,Frederick Foswell,bad,Male,-,165,71,Blue,Brown,Reporter  professional criminal
Bill Harken,85,40,35,60,30,40,-,good,Male,Alpha,0,0,-,-,-
Binary,95,100,100,100,100,100,Carol Susan Jane Danvers,good,Female,-,180,54,Blue,Blond,Former National Aeronautics and Space Administration security Chief  former magazine editor  former freelance writer  former military intelligence officer.
Bionic Woman,80,40,35,40,20,40,Jamie Wells Sommers,good,Female,Cyborg,0,0,Blue,Black,-
Bird-Brain,65,10,35,30,25,45,-,good,-,-,0,0,-,-,-
Birdman,90,55,70,70,70,70,Ray Randal,good,Male,God / Eternal,0,0,-,-,-
Bishop,85,15,25,75,100,65,Lucas Bishop,good,Male,Mutant,198,124,Brown,No Hair,(current) Adventurer  (former) Commander in the XSE (Xavier's Security Enforcers)
Bizarro,75,95,100,100,100,85,Bizarro,neutral,Male,Bizarro,191,155,Black,Black,-
Black Adam,95,100,95,100,100,60,Teth-Adam,bad,Male,-,191,113,Brown,Black,-
Black Bolt,90,70,100,85,100,60,Blackagar Boltagon,good,Male,Inhuman,188,95,Blue,Black,King of the Inhumans
Black Canary,85,10,35,20,55,80,Dinah Laurel Lance,good,Female,Metahuman,170,59,Blue,Blond,Detective/Crime-fighter  Chairperson of the Justice League of America; former florist  judo instructor
Black Canary,85,10,35,15,45,80,Dinah Drake Lance,good,Female,Human,165,58,Blue,Blond,Florist  former private investigator
Black Cat,90,20,35,10,25,70,Felicia Hardy,good,Female,Human,178,54,Green,Blond,Cat burglar; Private investigator  founder of Cat's Eye Investigations.
Black Flash,75,10,100,80,100,30,-,neutral,Male,God / Eternal,0,0,-,-,-
Black Knight III,85,10,10,70,45,70,Dane Whitman,good,Male,Human,183,86,Brown,Brown,Adventurer  scientist; former crusader
Black Lightning,80,15,55,30,70,75,Jefferson Pierce,good,Male,-,185,90,Brown,No Hair,Crime Fighter  High School teacher  Former gold-medal-winning Olympic Decathlete  formerly Secretary of Education under Presidents Pete Ross and Lex Luthor.
Black Mamba,90,10,35,45,90,65,Tanya Sealy,bad,Female,-,170,52,Green,Black,Mercenary  professional criminal  former call girl
Black Manta,90,30,50,60,80,85,-,bad,Male,Human,188,92,Black,No Hair,-
Black Panther,95,20,30,60,45,100,T'Challa,good,Male,Human,183,90,Brown,Black,King and Chieftain of Wakanda  scientist; former school teacher
Black Widow,90,15,35,30,40,100,Natalia Alianovna Romanova,good,Female,Human,170,59,Green,Auburn,Adventurer  Intelligence agent  former ballerina
Black Widow II,90,60,80,75,70,95,Yelena Belova,good,Female,-,170,61,Blue,Blond,-
Blackout,85,35,45,80,45,65,-,bad,Male,Demon,191,104,Red,White,Assassin  enforcer
Blackwing,75,10,35,35,20,60,Joseph Manfredi,bad,Male,-,185,86,Blue,Black,-
Blackwulf,80,30,10,30,70,25,Lucian,-,Male,Alien,188,88,Red,White,Freedom Fighter
Blade,85,30,40,50,40,90,Eric Brooks,good,Male,Vampire,188,97,Brown,Black,Vampire hunter  former private investigator.
Bling!,85,15,15,90,55,30,Roxanne Washington,good,Female,-,168,68,-,-,-
Blink,80,10,20,30,80,65,Clarice Ferguson,good,Female,Mutant,165,56,Green,Magenta,Adventurer  freedom fighter
Blizzard,75,75,60,70,85,65,-,bad,Male,-,0,0,-,-,-
Blizzard II,75,10,30,45,50,60,Donald Gill,bad,Male,-,175,77,Brown,Brown,Adventurer; former mercenary and professional criminal
Blob,60,85,25,95,30,75,Frederick J. Dukes,bad,Male,-,178,230,Brown,Brown,Former criminal  terrorist  government agent  carnival performer
Bloodaxe,85,80,35,80,100,85,Jackie Lukus,bad,Female,Human,218,495,Blue,Brown,Architect  former vigilante
Bloodhawk,80,10,50,80,80,65,Lemuel Krug,good,Male,Mutant,0,0,Black,No Hair,-
Bloodwraith,65,75,65,70,70,90,Sean Dolan,bad,Male,-,3050,0,White,No Hair,Former squire
Blue Beetle,85,80,80,85,90,85,Daniel Garrett,good,Male,-,0,0,Blue,Brown,Archaeologist; professor of archaeology
Blue Beetle II,85,45,55,65,60,80,Theodore Kord,good,Male,-,183,86,Blue,Brown,Inventor  President of Kord Omniversal  Crimefighter
Blue Beetle III,80,35,60,80,100,30,Jaime Reyes,good,Male,Human,0,0,Brown,Black,Student
Boba Fett,85,10,40,40,70,70,-,bad,Male,Human / Clone,183,0,Brown,Black,Bounty Hunter
Bomb Queen,90,90,80,95,100,90,-,bad,Female,-,0,0,-,-,-
Boom-Boom,75,10,15,45,60,65,Tabitha Smith,good,Female,Mutant,165,55,Blue,Blond,Adventurer  former student  thief
Booster Gold,85,85,45,70,100,40,Michael Jon Carter,good,Male,Human,196,97,Blue,Blond,Superhero  Founder  C.E.O & Chairman of Booster Gold International
Box IV,80,75,25,30,15,60,Madison Jeffries,good,-,-,0,0,Brown,Brown / Black,Inventor  former soldier
Brainiac,100,95,65,90,60,75,Vril Dox,bad,Male,Android,198,135,Green,No Hair,-
Brainiac 5,100,10,25,30,60,35,Querl Dox,good,Male,-,170,61,Green,Blond,-
Brother Voodoo,90,60,50,70,95,60,Jericho Drumm,good,Male,Human,183,99,Brown,Brown / White,Psychologist Houngan (voodoo priest)
Brundlefly,85,35,25,40,35,15,Sethaniel Brundle,neutral,Male,Mutant,193,0,-,-,Scientist
Buffy,85,30,45,70,50,60,Buffy Anne Summers,good,Female,Human,157,52,Green,Blond,Slayer ; (formerly) Waitress ; DoubleMeat Palace employee ; Sunnydale High Counselor
Bullseye,80,15,25,70,20,70,Lester,bad,Male,Human,183,90,blue,blond,Assassin  professional criminal  former mercenary
Bumblebee,85,30,25,10,50,35,Karen Beecher-Duncan,good,Female,Human,170,59,Brown,Black,-
Bushido,75,10,10,10,20,70,Ryuko Orsono,good,Male,Human,0,0,-,-,-
Cable,95,50,25,60,100,80,Nathan Christopher Charles Summers Dayspring,good,Male,Mutant,203,158,Blue,White,(current) Adventurer  (former) freedom fighter  United States government agent  mercenary  combat instructor for X-Force
Callisto,85,55,25,45,55,85,Callisto,bad,Female,-,175,74,Blue,Black,-
Cameron Hicks,80,10,25,30,55,70,-,good,Male,Alpha,0,0,-,-,-
Cannonball,80,30,70,100,95,60,Samuel Zachery Guthrie,good,Male,-,183,81,Blue,Blond,Adventurer  peacekeeper  former student  mercenary  miner
Captain America,85,20,40,55,60,100,Steven Grant Rogers,good,Male,Human,188,108,blue,blond,Adventurer  federal official  intelligence operative; former soldier  Hydra agent  liaison between S.H.I.E.L.D. and the Avengers  police officer  teacher  sparring partner.
Captain Atom,95,95,85,90,100,80,Nathaniel Christopher Adam,good,Male,Human / Radiation,193,90,Blue,Silver,Former Soldier
Captain Britain,90,80,50,60,35,80,Brian Braddock,good,Male,Human,198,116,Blue,Blond,Adventurer  formerly King of Otherworld  scientist
Captain Cold,80,10,20,20,30,20,Leonard Snart,neutral,Male,Human,0,0,Brown,Brown,Professional Criminal
Captain Epic,85,85,75,85,80,85,-,good,Male,-,188,0,Blue,Brown,Superhero
Captain Hindsight,65,10,85,30,10,20,Jack Brolin,good,Male,Human,0,0,-,Black,Former Superhero; News Reporter
Captain Marvel,95,90,75,95,100,90,Carol Susan Jane Danvers,good,Female,Human-Kree,180,74,Blue,Blond,Former National Aeronautics and Space Administration security Chief  former magazine editor  former freelance writer  former military intelligence officer.
Captain Marvel II,90,85,30,90,35,60,Frederick Christopher Freeman,good,Male,Human,175,74,Blue,Black,Adventurer
Captain Mar-vell,85,85,85,85,95,85,Mar-Vell,good,Male,-,188,108,Blue,Blond,"Captain in the Kree space fleet  later adventurer  later ""Protector of the Universe"""
Captain Planet,80,90,75,80,100,60,-,good,Male,God / Eternal,0,0,Red,Green,-
Captain Universe,95,95,95,95,100,85,-,good,-,God / Eternal,0,0,-,-,-
Carnage,85,65,70,85,90,90,Cletus Kasady,bad,Male,Symbiote,185,86,Green,Red,-
Cat,90,85,80,90,85,80,Shirlee Bryant,good,Female,-,173,61,Blue,Blond,Model
Catwoman,85,15,35,30,30,85,Selina Kyle,good,Female,Human,175,61,Green,Black,Thief
Century,95,80,55,65,100,100,-,good,Male,Alien,201,97,White,White,Tracker  adventurer
Cerebra,85,70,70,80,80,90,Shakti Haddad,good,Female,Mutant,0,0,-,-,-
Chamber,80,10,20,80,60,65,Jonothon Evan Starsmore,good,Male,Mutant,175,63,Brown,Brown,Adventurer
Chameleon,95,10,20,30,50,30,Dmitri Anatoly Nikolayevich Smerdyakov,bad,Male,Human,0,0,-,-,-
Changeling,85,10,25,45,65,65,Kevin Sidney,bad,Male,-,180,81,Brown,Black,Former substitute teacher  adventurer  subversive
Cheetah,75,10,45,20,35,70,Priscilla Rich,bad,Female,Human,163,50,Green,Blond,-
Cheetah II,75,20,45,20,40,60,Deborah Domaine,bad,Female,Human,170,55,Green,Brown,-
Cheetah III,95,100,90,80,80,95,Barbara Ann Minerva,bad,Female,Human,175,54,Brown,Brown,Archaeologist  Anthropologist
Chewbacca,80,40,25,50,40,65,-,good,Male,Wookiee,226,111,Blue,Brown,-
Citizen Steel,80,95,35,100,25,60,Nathaniel Heywood,good,Male,Human,183,170,Green,Red,Adventurer  former Professional Football Player
Claire Bennet,75,10,15,100,90,30,Claire Bennet,good,Female,-,0,0,Blue,Blond,High school student  cheerleader
Clea,70,40,45,40,75,35,Clea,good,-,-,0,0,-,White,Former ruler and Sorceress Supreme of the Dark Dimension; former apprentice of Doctor Strange
Cloak,85,10,50,65,100,60,Tyrone Johnson,good,Male,-,226,70,brown,black,Vigilante
Clock King,90,10,20,10,10,40,William Tockman,bad,Male,Human,178,78,Blue,Black,-
Cogliostro,70,65,60,80,80,60,Cain,bad,Male,-,0,0,-,-,-
Colossus,85,85,35,100,45,80,Piotr Nikolaievitch Rasputin,good,Male,Mutant,226,225,Silver,Black,(current) Adventurer  student  (former) Artist
Copycat,80,10,25,25,55,60,Vanessa Carlysle,neutral,Female,Mutant,183,67,Red,White,-
Corsair,70,35,45,35,45,75,Christopher Summers,good,Male,-,191,79,Brown,Brown,Pirate  former pilot
Cottonmouth,80,10,10,10,30,25,Burchell Clemens,bad,Male,Human,183,99,Brown,Black,Professional criminal
Crimson Crusader,60,60,40,65,85,65,Rory Destine,good,Male,-,0,0,Blue,Strawberry Blond,-
Crimson Dynamo,85,70,60,75,80,65,Anton Vanko,good,Male,-,180,104,Brown,No Hair,Scientist
Crystal,85,20,15,15,65,60,Crystallia Amaquelin Maximoff,good,Female,Inhuman,168,50,Green,Red,Mother  adventuress
Cyborg,90,55,45,85,75,65,Victor Stone,good,Male,Cyborg,198,173,Brown,Black,Adventurer  Teen Titan
Cyborg Superman,90,95,95,100,100,80,Henry Henshaw,bad,Male,Cyborg,0,0,Blue,Black,-
Cyclops,90,10,25,45,80,80,Scott Summers,good,Male,Mutant,191,88,Brown,Brown,Leader of mutant race  adventurer  headmaster  former student  radio announcer
Cy-Gor,60,100,75,90,85,70,-,bad,Male,-,0,0,-,-,-
Cypher,75,35,40,35,50,35,Douglas Aaron Ramsey,good,-,-,175,68,Blue,Blond,Student  Adventurer
Dagger,85,10,35,45,55,70,Tandy Bowen,good,Female,-,165,52,Blue,Blond,Vigilante
Daphne Powell,75,10,10,10,60,10,Daphne Powell,good,Female,-,0,0,-,-,Student
Daredevil,90,15,35,35,65,100,Matthew Michael Murdock,good,Male,Human,183,90,Blue,Red,Adventurer  vigilante  Attorney at Law
Darkhawk,80,35,35,70,75,65,Christopher Powell,good,Male,Human,185,81,Brown,Brown,Retired Superhero
Darkman,95,15,25,60,20,30,Peyton Westlake,good,Male,Human,0,0,-,-,Scientist
Darkseid,95,100,85,100,100,95,Uxas,bad,Male,New God,267,817,Red,No Hair,Dictator of Apokolips
Darkstar,75,10,35,45,80,65,Laynia Petrovna,good,Female,Mutant,168,56,Brown,Blond,Occupation unknown
Darth Maul,80,50,50,30,100,100,-,bad,Male,Dathomirian Zabrak,170,0,Yellow / Red,-,-
Darth Vader,85,50,35,35,100,100,Anakin Skywalker,bad,Male,Cyborg,198,135,Yellow,No Hair,Sith Lord  Supreme Commander of the Imperial Fleet
Dash,65,15,95,60,20,30,Dashiell Robert Parr,good,Male,Human,122,27,Blue,Blond,-
Data,100,35,25,40,60,50,-,good,Male,Android,0,0,Yellow,Brown,Lieutenant commander
Dazzler,85,10,35,60,100,55,Alison Blaire,good,Female,Mutant,173,52,Blue,Blond,Adventurer  singer  former actress  model  revolutionary
Deadman,80,10,35,100,100,45,Boston Brand,good,Male,Human,183,90,Blue,Black,Wandering Spirit  Former Circus Aerialist
Deadpool,85,35,50,100,100,100,Wade Winston Wilson,neutral,Male,Mutant,188,95,Brown,No Hair,Mercenary; former enforcer  government operative  sumo wrestler  soldier  assassin  anti-hero  others
Deadshot,80,10,25,30,55,80,Floyd Lawton,bad,Male,Human,185,91,Brown,Brown,-
Deathlok,85,35,30,70,40,60,Luther Manning,good,Male,Cyborg,193,178,Brown,Grey,-
Deathstroke,90,30,35,100,50,90,Slade Joseph Wilson,neutral,Male,Human,193,101,Blue,White,Mercenary; Former Soldier  Big-Game Hunter
Demogoblin,80,50,45,35,70,60,-,bad,Male,Demon,185,95,Red,No Hair,Demonic Redeemer
Destroyer,80,95,60,100,85,70,-,bad,Male,-,188,383,-,-,-
Diamondback,75,20,25,30,45,60,Willis Stryker,bad,Male,Human,193,90,Brown,Black,Criminal
DL Hawkins,80,15,15,60,50,60,Daniel Lawrence Hawkins,good,Male,-,0,0,-,-,Construction worker  Firefighter
Doc Samson,90,80,35,80,40,70,Leonard Samson,good,Male,Human / Radiation,198,171,Blue,Green,Psychiatrist  teacher  adventurer  former special consultant to Gamma Base
Doctor Doom,100,35,20,100,100,85,Victor von Doom,bad,Male,Human,201,187,Brown,Brown,Monarch
Doctor Doom II,95,75,55,75,80,70,Kristoff Vernard,bad,Male,-,201,132,Brown,Brown,-
Doctor Fate,95,20,25,80,100,50,Kent Nelson,good,Male,Human,188,89,Blue,Blond,-
Doctor Octopus,100,50,35,40,55,65,Otto Octavius,bad,Male,Human,175,110,Brown,Brown,Former atomic-research consultant  criminal mastermind
Doctor Strange,100,10,15,85,100,60,Stephen Vincent Strange,good,Male,Human,188,81,Grey,Black,Sorcerer Supreme  retired neurosurgeon
Domino,85,10,30,30,50,75,Neena Thurman,good,Female,Human,173,54,Blue,Black,-
Donatello,95,15,50,60,60,75,-,good,Male,Mutant,0,0,Green,No Hair,-
Donna Troy,90,90,85,90,85,95,Donna Hinckley Stacey Troy,good,Female,Amazon,175,63,Blue,Black,-
Doomsday,90,100,70,100,100,90,Doomsday,bad,Male,Alien,244,412,Red,White,Destroyer
Doppelganger,50,65,60,95,70,85,-,bad,Male,-,196,104,White,No Hair,-
Dormammu,95,95,85,100,100,80,Dormammu,bad,Male,-,185,0,Yellow,No Hair,Despot  conqueror
Dr Manhattan,100,100,45,100,100,45,Jonathan Osterman,good,Male,Human / Cosmic,0,0,White,No Hair,Scientist
Drax the Destroyer,80,80,25,85,50,65,Arthur Sampson Douglas,good,Male,Human / Altered,193,306,Red,No Hair,-
Ego,95,80,85,100,75,30,Ego,bad,-,-,0,0,-,-,Inapplicable
Elastigirl,85,35,35,95,55,70,Helen Parr,good,Female,Human,168,56,Brown,Brown,-
Electro,85,10,50,60,70,65,Maxwell Dillon,bad,Male,Human,180,74,Blue,Auburn,Professional criminal
Elektra,85,15,30,30,60,100,Elektra Natchios,good,Female,Human,175,59,Blue,Black,Assassin  adventurer  mercenary  former student  dancer
Elle Bishop,80,10,15,45,65,45,-,bad,Female,-,0,0,Blue,Blond,Agent of the Company
Elongated Man,90,10,35,90,45,40,Ralph Dibny,good,Male,-,185,80,Blue,Red,Detective
Emma Frost,90,65,35,90,100,45,Emma Frost,good,Female,-,178,65,Blue,Blond,-
Enchantress,85,15,25,60,100,40,-,good,Female,Human,168,57,Blue,Blond,Artist; Magician
Energy,80,80,85,80,85,75,-,good,Female,-,0,0,-,-,-
Etrigan,80,85,20,100,100,50,Jason Blood,neutral,Male,Demon,193,203,Red,No Hair,-
Evil Deadpool,85,35,50,100,100,100,-,bad,Male,Mutant,188,95,White,Red,Mercenary  Assasin
Evilhawk,80,35,35,70,85,65,Dargin Bokk,bad,Male,Alien,191,106,Red,Black,Crimelord
Exodus,85,85,30,30,100,70,Bennet du Paris,bad,Male,Mutant,183,88,Blue,Black,Terrorist  would-be conqueror  Former leader of the Acolytes  Crusader
Falcon,75,15,50,30,25,65,Samuel Thomas Wilson,good,Male,Human,188,108,Brown,Black,Crimefighter  (former) freelance artist
