Name,Intelligence,Strength,Speed,Durability,Power,Combat,Full name,Alignment,Gender,Race,Height (cm),Weight (kg),Eye color,Hair color,Occupation
Fallen One II,95,85,85,100,100,60,-,bad,Male,-,0,0,Black,Blue,-
Faora,95,95,75,100,100,90,Faora Hu-Ul,bad,Female,Kryptonian,0,0,-,-,Serial killer
Feral,75,30,45,30,30,70,Maria Callasantos,good,-,-,175,50,Yellow (without irises),Orange / White,Formerly Adventurer  Terrorist
Fin Fang Foom,80,85,25,100,75,70,-,good,Male,Kakarantharaian,975,18000,Red,No Hair,-
Firebird,75,10,40,15,100,45,Bonita Juarez,good,Female,-,165,56,Brown,Black,Social worker  adventurer
Firelord,75,65,75,90,55,30,Pyreus Kril,good,-,-,193,99,White,Yellow,Former starship captain  former herald of Galactus
Firestar,80,10,55,55,75,35,Angelica Jones,good,Female,Mutant,173,56,Green,Red,Student
Firestorm,75,80,60,80,100,40,Ronald Raymond,good,Male,Human,188,91,Blue,Auburn,Adventurer; former employee of Bun 'n Run
Firestorm,80,55,60,60,100,45,Jason Rusch,good,Male,-,0,0,Brown,Black,University student; former food server at Bryson's Family Treat; former mascot at Ho-Ho Charlie's Chicken Shack; former intern at S.T.A.R. Labs
Fixer,90,70,70,75,70,65,Paul Norbert Ebersol,bad,-,-,0,0,Red,No Hair,Criminal inventor
Flash,85,10,100,50,70,35,Jason Peter Garrick,good,Male,Human,180,81,Blue,Brown / White,Research Scientist  part-time Director of Garrick Laboratories
Flash II,95,50,100,60,100,60,Bartholomew Henry Allen,good,Male,Human,183,88,Blue,Blond,Forensic Scientist
Flash III,85,10,100,60,100,35,Wallace Rudolph West,good,Male,Human,183,86,-,-,Adventurer  Mechanic for the KCPD
Flash IV,85,10,100,35,100,50,Bartholomew Allen II,good,Male,Human,157,52,Yellow,Auburn,Police trainee
Forge,85,10,15,30,25,50,-,good,-,-,183,81,Brown,Black,Inventor working for the U.S. government  former soldier
Franklin Richards,85,80,50,60,100,50,Franklin Benjamin Richards,good,Male,Mutant,142,45,Blue,Blond,Student
Franklin Storm,75,10,5,5,0,10,Dr. Franklin Storm,good,-,-,188,92,Blue,Grey,Surgeon
Frenzy,85,55,35,100,40,55,Joanna Cargill,bad,Female,-,211,104,Brown,Black,Mercenary
Frigga,75,80,50,85,85,65,Frigga,good,Female,-,180,167,Blue,White,Queen of Asgard  goddess of marriage
Galactus,100,100,85,100,100,50,Galan,neutral,Male,Cosmic Entity,876,16000,Black,Black,Planet Devourer  Third Force of the Universe - balance between Eternity and Death  Nullifying Abraxas' Influence on the Multiverse  Third Face of the Living Tribunal - representing Equity
Gambit,85,10,25,30,55,85,Remy Etienne LeBeau,good,Male,Mutant,185,81,Red,Brown,Jean Grey School for Higher Learning  Salem Center  Westchester County  New York; formerly Utopia  San Francisco Bay  California; Xavier Institute  Salem Center  Westchester County  New York; New Orleans; Paris; Cairo; Illinois
Gamora,90,85,45,85,55,100,Gamora Zen Whoberi Ben Titan,good,Female,Zen-Whoberian,183,77,Yellow,Black,Assassin  mercenary  adventurer
Garbage Man,80,90,65,90,90,85,Richard Ethan Morse,good,Male,Mutant,0,0,-,-,-
Gary Bell,85,5,10,10,55,10,Gary Bell,good,Male,Alpha,0,0,-,-,-
General Zod,100,100,100,100,100,95,Dru-Zod,bad,Male,Kryptonian,0,0,Black,Black,-
Genesis,80,75,75,70,80,65,Tyler Dayspring,good,Male,-,185,86,Blue,Blond,Former would-be world conqueror  arms dealer  soldier  freedom fighter
Ghost Rider,80,55,25,100,100,60,Jonathan Blaze,good,Male,Demon,188,99,Red,No Hair,Former stunt motorcyclist
Ghost Rider II,70,85,95,85,85,90,Daniel Ketch,good,-,-,0,0,-,-,-
Giant-Man,95,85,40,65,55,45,Henry Jonathan Pym,good,Male,Human,0,0,-,-,-
Giganta,95,90,25,85,35,45,Doris Zuel,bad,Female,-,6250,630,Green,Red,Criminal  former Scientist  Professor at Ivy University
Gladiator,80,100,100,100,80,70,Kallark,neutral,Male,Strontian,198,268,Blue,Blue,Majestor of the Shi'ar Empire; Former Praetor of the Imperial Guard; possibly former Herald of Galactus
Goblin Queen,90,10,25,30,65,60,Madelyne Jennifer Pryor,bad,Female,-,168,50,Green,Red,-
Godzilla,75,100,55,100,100,20,-,bad,-,Kaiju,10800,90000000,-,-,-
Gog,80,35,50,75,40,60,-,bad,Male,-,0,0,-,-,-
Goku,80,100,75,90,100,100,Kakarot,good,Male,Saiyan,175,62,-,-,-
Gorilla Grodd,95,55,35,70,100,65,Grodd,bad,Male,Gorilla,198,270,Yellow,Black,-
Granny Goodness,100,100,90,100,95,100,-,bad,Female,-,178,115,Blue,White,-
Gravity,80,35,35,40,70,30,Greg Willis,good,Male,Human,178,79,Blue,Brown,Student
Greedo,75,10,15,15,35,40,-,bad,Male,Rodian,170,0,Purple,-,Bounty Hunter
Green Arrow,95,15,35,30,40,90,Oliver Jonas Queen,good,Male,Human,188,88,Green,Blond,Professional Crime-fighter; Multi-Billionaire
Green Goblin,100,50,40,60,50,50,Norman Virgil Osborn,bad,Male,Human,180,83,Blue,Auburn,Professional criminal  owner and president of Osborn Industries
Green Goblin II,90,55,40,50,45,30,Harold Osborn,bad,Male,-,178,77,Blue,Auburn,-
Green Goblin IV,90,90,85,80,65,75,Phillip Benjamin Urich,good,Male,-,178,79,Green,Brown,College student  former vigilante  intern at Daily Bugle
Green Lantern,80,90,50,50,100,55,Jessica Viviana Cruz,good,Female,Human,0,0,Green,Brown,-
Green Lantern,85,80,25,90,100,35,Alan Ladd Wellington Scott,good,Male,-,180,90,Blue,Blond,-
Green Lantern,80,90,45,55,100,60,-,good,Male,Human,0,0,Bown,Black,-
Green Lantern,85,90,75,80,100,70,Harold Jordan,good,Male,Human,188,90,Brown,Brown,Adventurer  Air Force Test Pilot
Green Lantern,80,85,45,65,100,65,John Stewart,good,Male,Human,185,90,Green,Black,Architect
Green Lantern,75,90,55,65,100,65,Guy Darrin Gardner,good,Male,Human-Vuldarian,188,95,Blue,Red,Former High School gym teacher; former bar owner; currently Honor guard of the Green Lantern Corps
Green Lantern,85,90,50,60,100,60,-,good,Male,Human,180,79,Green,Black,Green Lantern  Adventurer  Artist
Groot,90,85,35,70,100,65,Groot,good,Male,Flora Colossus,701,4000,Yellow,-,-
Guardian,90,65,65,75,80,75,Dr. James McDonald Hudson,good,Male,Human,0,0,Brown,Black,Engineer  government agent  adventurer
Han Solo,80,10,20,20,45,60,Han Solo,good,Male,Human,183,79,Brown,Brown,-
Hancock,85,90,70,100,100,50,John Hancock,good,Male,Human,188,0,Brown,Black,-
Harley Quinn,95,15,35,65,55,80,Harleen Francis Quinzel,bad,Female,Human,170,63,Blue,Blond,Psychiatrist
Harry Potter,90,10,25,10,100,50,-,good,Male,Human,0,0,Green,Black,Head of the Department of Magical Law Enforcement[
Havok,85,10,25,60,75,45,Alexander Summers,good,Male,Mutant,183,79,Blue,Blond,Currently Adventurer  formerly Graduate student in geophysics
Hawk,75,40,35,95,45,45,Henry Hall,good,Male,-,185,89,Red,Brown,-
Hawkeye,80,15,25,10,30,80,Clinton Francis Barton,good,Male,Human,191,104,Blue,Blond,Adventurer
Hawkeye II,80,10,10,10,25,50,Katherine Elizabeth Bishop,good,Female,Human,165,57,Blue,Black,Student; Adventurer; Fugitive
Hawkgirl,80,30,55,100,100,75,Kendra Saunders,good,Female,-,175,61,Green,Red,Adventurer  Film School Student  Temp Curator of the Stonechat Museum
Hawkman,90,40,60,75,85,80,Carter Hall,good,Male,Alien,185,88,Blue,Brown,Adventurer
Hawkwoman,90,85,85,90,85,90,Shayera Hol,good,Female,-,175,54,Green,Red,-
Hawkwoman II,75,85,90,75,80,85,Sharon Parker,good,Female,-,0,0,-,-,-
Hawkwoman III,75,80,85,85,80,90,Shayera Thal,good,Female,-,170,65,Blue,Red,Police Officer
Heat Wave,75,10,20,45,30,30,Mick Rory,bad,Male,Human,180,81,Blue,No Hair,Professional Criminal
Hela,85,100,50,100,100,45,-,bad,Female,Asgardian,213,225,Green,Black,Asgardian Goddess of Death  former Ruler of Hel and Niffleheim
Hellboy,85,55,25,95,75,75,Anung Un Rama,good,Male,Demon,259,158,Gold,Black,-
Hellcat,85,15,35,45,50,70,Patricia Walker,good,Female,Human,173,61,Blue,Red,Housemaker  model  adventurer  supernatural investigator
Hellstorm,80,65,60,75,90,65,Daimon Hellstrom,good,Male,-,185,81,Red,Red,Ruler of Hell  former Demonologist  occult investigator  exorcist and priest
He-Man,90,100,75,90,75,85,-,good,Male,Human,0,0,-,-,-
Hercules,85,100,50,85,90,100,Heracles,good,Male,Demi-God,196,146,Blue,Brown,Adventurer  Olympian God of Strength and Labor  later Olympian God of Heroes
Hiro Nakamura,75,15,95,20,100,35,Hiro Nakamura,good,Male,-,0,0,-,-,Office worker
Hit-Girl,80,10,30,20,30,65,Mindy McCready,good,Female,Human,0,0,-,-,-
Hobgoblin,65,60,60,60,65,60,Roderick Kingsley,bad,Male,-,180,83,Blue,Grey,Fashion designer
Hollow,85,80,80,80,80,80,Monet St. Croix,good,Female,-,170,0,Blue,Red,-
Hope Summers,85,10,15,35,95,75,Hope Summers,good,Female,-,168,48,Green,Red,-
Howard the Duck,75,55,55,70,60,75,Howard (Last name unrevealed),good,Male,-,79,18,Brown,Yellow,Many and various  including former candidate for the United States presidency but usually unemployed
Hulk,95,100,65,100,100,85,Robert Bruce Banner,good,Male,Human / Radiation,244,630,Green,Green,Nuclear physicist  Agent of S.H.I.E.L.D.
Human Torch,85,15,65,70,90,45,Jonathan Lowell Spencer Storm,good,Male,Human / Radiation,178,77,Blue,Blond,Adventurer
Huntress,85,10,25,30,35,95,Helena Rosa Bertinelli,good,Female,-,180,59,Blue,Black,Vigilante; High school English teacher
Husk,85,65,35,80,50,65,Paige Elisabeth Guthrie,good,Female,Mutant,170,58,Blue,Blond,Adventurer; formerly student  activist
Hybrid,85,65,60,75,100,80,-,good,Male,Symbiote,175,77,Brown,Black,-
Hydro-Man,75,15,25,80,70,50,Morris Bench,bad,Male,-,188,119,Brown,Brown,Professional Criminal; former crewman of cargo ship
Hyperion,95,100,100,95,90,80,-,good,Male,Eternal,183,207,Blue,Red,Adventurer; (Formerly) Cartoonist  government agent
Iceman,85,35,55,100,100,65,Robert Louis Drake,good,Male,Mutant,173,65,Brown,Brown,Adventurer  formerly teacher  accountant  student
Impulse,80,10,100,60,75,60,Bartholomew Allen II,good,Male,Human,170,65,Yellow,Auburn,Adventurer  Student
Indiana Jones,85,10,20,30,20,30,Henry Walton Jones Jr.,good,Male,Human,183,79,-,-,Archaeologist
Indigo,90,65,50,50,100,50,-,neutral,Female,Alien,0,0,-,Purple,Leader of the Indigo Tribe
Ink,75,30,20,40,75,50,Eric Gitter,good,Male,Mutant,180,81,Blue,No Hair,-
Invisible Woman,95,10,30,85,95,60,Susan Storm Richards,good,Female,Human / Radiation,168,54,blue,Blond,Member of the Fantastic Four  financial manager for Fantastic Four Inc  occasional model and actress
Iron Fist,90,55,35,50,95,100,Daniel Thomas Rand-K'ai,good,Male,Human,180,79,Blue,Blond,Adventurer; formerly co-owner of Rand-Meachum  Inc.  bodyguard  private investigator  research assistant  warrior
Iron Man,100,85,60,85,100,65,Anthony Edward Stark,good,Male,Human,198,191,Blue,Black,Inventor  Industrialist; former United States Secretary of Defense
Iron Monger,95,65,25,90,60,60,Obadiah Stane,bad,Male,-,0,2000,Blue,No Hair,CEO Stane International
Isis,90,50,75,50,50,60,Adrianna Tomaz,good,Female,-,0,0,-,-,Adventurer  formerly First Lady of Kahndaq  former slave
Jack of Hearts,85,55,100,30,80,30,Jonathan Hart,good,Male,Human,155,79,Blue / White,Brown,Adventurer
Jack-Jack,35,35,70,80,100,10,Jac-jack Parr,good,Male,Human,71,14,Blue,Brown,-
James Bond (Craig),95,15,20,35,25,90,James Bond,good,Male,Human,183,0,blue,Blond,00 Agent
James T. Kirk,85,15,20,30,30,75,James Tiberius Kirk,good,Male,Human,178,77,Hazel,Brown,Captain
Jar Jar Binks,60,10,35,10,25,15,-,good,Male,Gungan,193,0,Yellow,-,-
Jason Voorhees,85,35,25,100,100,50,-,bad,Male,Human,191,113,Brown,Red,-
Jean Grey,100,80,25,20,95,70,Jean Grey-Summers,good,Female,Mutant,168,52,Green,Red,Adventurer
Jean-Luc Picard,90,10,20,30,30,65,-,good,Male,Human,0,0,-,-,Commanding officer USS Enterprise (NCC-1701-E)
Jennifer Kale,90,10,35,45,75,75,Jennifer Kale,good,Female,-,168,55,Blue,Blond,Sorceress  student
Jesse Quick,90,60,100,70,90,85,Jessica Belle Chambers,good,Female,Human,0,0,-,-,-
Jessica Jones,80,45,50,70,20,55,Jessica Campbell Jones Cage,good,Female,Human,170,56,Brown,Brown,"Special Consultant to ""The Pulse""  a Daily Bugle supplement; formerly private investigator  adventurer  short-time vigilante"
Jigsaw,60,45,45,60,45,85,Billy Russo,bad,Male,-,188,113,Blue,Black,Professional mobster
Jim Powell,75,40,25,80,25,20,Jim Powell,good,Male,-,0,0,-,-,Police Sketch Artist
JJ Powell,95,10,10,10,15,10,JJ Powell,good,Male,-,0,0,-,-,Student
John Constantine,85,10,10,40,55,65,John Constantine,good,Male,Human,183,0,Blue,Blond,-
John Wraith,90,15,35,30,90,80,John Wraith,good,Male,-,183,88,Brown,Black,Former Spy  Government Operative  Mercenary  Soldier
Joker,100,10,15,60,45,70,Jack Napier,bad,Male,Human,196,86,Green,Green,-
Jolt,85,15,30,35,35,45,Helen Takahama,good,Female,-,165,49,Blue,Black,Adventurer
Jubilee,80,10,25,20,70,90,Jubilation Lee,good,Female,Mutant,165,52,Red,Black,Student  Adventurer
Judge Dredd,90,20,40,50,55,95,Joseph Dredd,good,Male,Human,188,0,-,-,Mega-City Judge
Juggernaut,75,100,45,100,85,70,Cain Marko,neutral,Male,Human,287,855,Blue,Red,Adventurer formerly Professional criminal  mercenary  soldier
Junkpile,80,40,20,90,85,30,-,bad,Male,Mutant,0,0,-,-,Mercenary; Former member of S.H.I.E.L.D.
Justice,80,10,35,70,55,30,Vance Astrovik,good,Male,Human,178,81,Hazel,Brown,Adventurer
Jyn Erso,70,40,50,50,55,85,-,good,Female,Human,0,0,Green,Brown,-
Kang,100,50,60,70,100,70,Nathaniel Richards,bad,Male,-,191,104,Brown,Brown,-
Karate Kid,85,65,70,20,50,100,-,good,Male,Human,173,72,Brown,Brown,-
Kathryn Janeway,90,10,25,25,25,50,Kathryn M. Janeway,good,Female,Human,0,0,-,-,Fleet Commander
Katniss Everdeen,80,10,25,25,25,55,-,good,Female,Human,0,0,-,-,-
Kevin 11,65,10,15,15,100,40,Kevin Ethan Levin,good,Male,Human,0,0,-,Black,-
Kick-Ass,75,10,25,35,25,60,Dave Lizewski,good,Male,Human,0,0,Blue,Blond,Student
Kid Flash,65,5,95,45,20,30,Wallace Rudolph West,good,Male,Human,0,0,Green,Red,-
Kid Flash II,70,45,100,65,80,65,Bartholomew Allen II,good,Male,-,0,0,-,-,-
Killer Croc,65,55,35,90,55,60,Waylon Jones,bad,Male,Metahuman,244,356,Red,No Hair,-
Killer Frost,95,10,15,35,60,30,-,bad,Female,Human,0,0,Blue,Blond,Scientist
Kilowog,95,90,55,45,100,80,-,good,Male,Bolovaxian,234,324,Red,No Hair,-
King Kong,80,100,75,75,50,75,-,good,Male,Animal,3050,9000000,Yellow,Black,-
King Shark,80,90,50,90,90,40,-,bad,Male,Animal,0,0,Black,No Hair,Professional Criminal
Kingpin,90,20,25,40,15,70,Wilson Grant Fisk,bad,Male,Human,201,203,Blue,No Hair,Criminal organizer and mastermind  president and owner of legitimate businesses
Klaw,85,40,35,100,65,60,Ulysses Klaw,bad,Male,Human,188,97,Red,No Hair,Criminal  former Scientist
Kratos,80,95,65,95,100,100,-,good,Male,Demi-God,198,108,-,-,-
Kraven II,80,35,25,30,45,85,Alyosha Kravinoff,bad,Male,Human,191,99,Brown,Black,-
Kraven the Hunter,85,35,35,45,25,85,Sergei Kravinoff,bad,Male,Human,183,106,Brown,Black,Professional game hunter  mercenary
Krypto,55,80,100,90,85,40,Krypto the Superdog,good,Male,Kryptonian,64,18,Blue,White,-
Kylo Ren,80,45,35,30,100,70,-,bad,Male,Human,0,0,-,-,-
Lady Bullseye,90,75,80,80,75,100,-,bad,Female,-,0,0,-,Black,-
Lady Deathstrike,85,30,45,85,50,90,Yuriko Oyama,bad,Female,Cyborg,175,58,Brown,Black,-
Leader,100,10,15,15,60,45,Samuel Sterns,bad,Male,-,178,63,Green,No Hair,-
Leech,65,5,15,15,65,15,-,good,Male,-,0,0,-,-,Survivor  former student
Legion,80,100,45,30,100,75,David Charles Haller,good,Male,Mutant,175,59,Green / Blue,Black,Adventurer  Student
Leonardo,90,20,50,65,60,80,-,good,Male,Mutant,0,0,Blue,No Hair,Ninja
Lex Luthor,100,55,25,65,70,70,Alexander 'Lex' Joseph Luthor,bad,Male,Human,188,95,Green,No Hair,Owner of LexCorp
Light Lass,75,10,35,30,70,45,Ayla Ranzz,good,Female,-,165,54,Blue,Red,-
Lightning Lad,75,10,25,30,60,45,Garth Ranzz,good,Male,-,155,65,Blue,Red,Legionnaire
Lightning Lord,75,10,25,45,70,45,Mekt Ranzz,bad,Male,-,191,95,Blue,Red,-
Living Brain,90,55,35,60,35,30,-,bad,-,-,198,360,Yellow,-,Robot
Living Tribunal,100,100,100,100,100,30,-,neutral,-,Cosmic Entity,0,0,Blue,No Hair,-
Liz Sherman,55,35,30,45,75,50,Elizabeth Anne Sherman,good,Female,-,0,0,-,-,-
Lizard,80,55,60,70,80,60,Curtis Connors,bad,Male,Human,203,230,Red,No Hair,Research biologist
Lobo,100,100,55,100,100,85,-,neutral,Male,Czarnian,229,288,Red,Black,Assassin  Bounty Hunter  Priest
Loki,95,65,50,85,100,60,Loki Laufeyson,bad,Male,Asgardian,193,236,Green,Black,God of evil; former god of mischief and madness
Longshot,80,10,30,10,75,70,-,good,Male,Human,188,36,Blue,Blond,freedom fighter  stuntman rebel  adventurer
Lucifer Morningstar,100,100,85,100,100,95,-,neutral,Male,God / Eternal,178,79,Amber,Blond,-
Luke Cage,80,65,30,95,45,70,Luke Cage,good,Male,Human,198,191,Brown,Black,Adventurer  bar owner  bodyguard  mercenary; formerly theater owner  private investigator  various odd jobs
Luke Skywalker,85,40,45,25,100,100,Luke Skywalker,good,Male,Human,168,77,Blue,Blond,-
Luna,75,10,85,15,55,15,Luna Maximoff,good,Female,Human,0,0,-,-,-
Lyja,70,65,50,60,85,85,Lyja,good,Female,-,0,0,Green,Green,Former Skrull Liason Officer
Machine Man,85,35,35,85,55,65,X-51  Aaron Stack,good,-,-,183,383,Red,Black,Insurance Investigator
Mach-IV,90,40,60,85,60,60,Abner Jenkins,bad,Male,-,180,79,Brown,Brown,Adventurer; former master mechanic  professional criminal  mercenary
Magneto,95,80,30,85,95,80,Erik Magnus Lensherr,bad,Male,Mutant,188,86,Grey,White,Currently Revolutionary and Conqueror  formerly Volunteer Orderly  Secret Agent
Magog,80,50,25,65,70,75,David Reid,good,Male,-,0,0,Blue,Blond,-
Magus,95,100,70,100,100,75,-,bad,Male,-,183,0,Black,-,Ruler of the Technarchy
Man of Miracles,100,100,100,100,100,100,-,-,-,God / Eternal,0,0,Blue,Silver,-
Man-Bat,75,20,50,70,35,30,Robert Kirkland Langstrom,neutral,Male,Human,0,0,Brown,Brown,Zoologist
Mandarin,100,30,25,30,100,95,Khan,bad,Male,Human,188,97,Blue,White,Would-be conqueror; former janitor  businessman and crimelord  government administrator
Man-Thing,80,35,10,100,100,40,Dr. Theodore Sallis,good,Male,-,213,225,Red,No Hair,-
Mantis,85,10,35,80,100,80,-,good,Female,Human-Kree,168,52,Green,Black,Celestial Madonna  former adventuress  former bar-maid/prostitute/exotic dancer
Man-Wolf,85,45,35,45,45,70,John Jameson,good,Male,-,188,90,Brown,Auburn,Employed by Dept. of Social Services  Queens; former astronaut  test pilot  security chief for Ravenscroft Institute
Martian Manhunter,100,95,95,100,100,85,J'onn J'onzz,good,Male,Martian,201,135,Red,No Hair,-
Marvel Girl,85,85,50,45,100,80,Rachel Anne Summers,good,Female,-,170,56,Green,Red,Adventurer
Master Chief,90,75,35,80,70,100,John-117,good,Male,Human / Altered,213,0,Brown,Brown,Master Chief Petty Officer of the Navy
Match,90,95,85,85,100,70,Kent Connor,bad,Male,-,0,0,Black,Black,-
Matt Parkman,85,10,15,15,60,60,Matthew Parkman,good,Male,-,0,0,-,-,NYPD detective
Maverick,85,10,15,45,60,85,Christopher Bradley,good,Male,-,193,110,Blue,Black,Mercenary; former adventurer  student
Maxima,90,90,35,60,85,75,-,bad,Female,-,180,72,Brown,Red,Adventurer  Queen of the Almerac Empire
Maya Herrera,80,10,15,15,60,15,Maya Herrera,good,Female,-,0,0,-,-,-
Medusa,90,35,35,70,40,60,Medusalith Amaquelin Boltagon,good,Female,Inhuman,180,59,Green,Red,Queen  Royal interpreter
Meltdown,75,10,15,45,65,65,Tabitha Smith,good,Female,-,165,54,Blue,Blond,Adventurer  former student  thief
Mephisto,95,85,35,95,100,45,-,bad,Male,-,198,140,White,Black,Lord of a realm of Hell
Mera,80,65,80,60,95,80,-,good,Female,Atlantean,175,72,Blue,Red,Former queen of Atlantis; Former queen of Dimension Aqua
Metallo,90,55,25,95,90,65,John Corben,bad,Male,Android,196,90,Green,Brown,Professional criminal
Metamorpho,70,85,70,95,95,80,Rex Mason,good,Male,-,185,90,Black,No Hair,Adventurer  former Soldier of Fortune
Metron,95,10,50,60,100,30,Metron,good,Male,-,185,86,Blue,Black,Scientist  seeker of knowledge
Micah Sanders,85,10,15,15,60,15,Micah Sanders,good,Male,-,0,0,Brown,Black,Elementary school student
Michelangelo,85,15,50,65,60,75,-,good,Male,Mutant,0,0,Blue,-,-
Micro Lad,75,30,30,30,45,35,Gim Allon,good,Male,-,183,77,Grey,Brown,-
Mimic,85,70,50,60,80,45,Calvin Montgomery Rankin,good,Male,-,188,101,Brown,Brown,-
Misfit,85,35,25,80,95,45,Charlotte Gage-Radcliffe,good,Female,-,0,0,Blue,Red,-
Miss Martian,85,85,60,100,100,45,M'gann M'orzz,good,Female,-,178,61,Red,Red,Adventurer
Mister Fantastic,100,10,20,70,35,65,Reed Richards,good,Male,Human / Radiation,185,81,Brown,Brown,Scientist  adventurer
Mister Freeze,90,35,15,70,40,30,Victor Fries,bad,Male,Human,183,86,-,-,-
Mister Knife,90,10,20,30,15,65,-,bad,Male,Spartoi,0,0,Blue,Brown,Crimelord; former emperor  prince
Mister Mxyzptlk,100,85,100,100,100,50,Mr. Mxyzptlk,bad,Male,God / Eternal,0,0,-,-,-
Mister Sinister,100,50,50,90,100,50,Dr. Nathaniel Essex,bad,Male,Human / Altered,196,128,Red,Black,Geneticist  Criminal  biologist and mutant-supremacist
Mister Zsasz,100,25,35,30,30,95,Victor Zsasz,bad,Male,Human,173,68,Blue,Blond,Serial Killer
Mockingbird,90,35,40,20,50,95,Barbara Morse,good,Female,Human,175,61,Blue,Blond,Adventurer; former counter-terrorist agent  private investigator  government operative  S.H.I.E.L.D. agent  biologist
MODOK,100,20,25,25,80,15,-,bad,Male,Cyborg,366,338,White,Brownn,Would-be conqueror  AIM leader  terrorist; former AIM agent  technician
Mogo,80,85,85,95,95,70,Mogo,good,Male,Planet,0,0,-,-,Green Lantern
Molecule Man,85,100,70,90,100,70,-,bad,Male,Human / Radiation,170,63,Blue,Brown,Megalomaniacal criminal; Former laboratory technician
Moloch,75,40,35,40,70,45,Edgar William Jacobi,bad,Male,-,0,0,-,-,-
Molten Man,80,75,25,85,55,60,Mark Raxton,bad,Male,-,196,248,Gold,Gold,Security guard for Osborn industries  former criminal  lab assistant
Monarch,95,100,100,100,100,95,Nathaniel Christopher Adam,good,Male,-,193,90,Blue,White,Adventurer  former U.S. Special Agent  former U.S. Air Force Captain
Monica Dawson,80,10,35,15,50,90,Monica Dawson,good,Female,-,0,0,-,-,Fast food service
Moon Knight,80,40,25,45,30,75,Marc Spector,good,Male,Human,188,101,Brown,Brown,Adventurer  entrepreneur; former prize fighter  spy  soldier  mercenary  cab driver
Moonstone,80,70,50,55,75,80,Dr. Karla Sofen,bad,Female,-,180,59,Blue,Blond,former Adventurer  Psychiatrist
Morlun,85,60,35,45,75,60,Morlun,bad,Male,-,188,79,White / Red,Black,-
Morph,65,50,40,65,70,50,Kevin Sydney,good,Male,-,178,79,White,No Hair,Adventurer  reality traveler
Moses Magnum,90,30,15,45,55,60,Moses Magnum,bad,Male,-,175,72,Brown,Black,Terrorist  president of Magnum Munitions; former ruler of Canaan
Mr Immortal,80,10,10,100,70,30,-,good,Male,Mutant,188,70,Blue,Blond,-
Mr Incredible,80,85,35,95,30,40,Robert Parr,good,Male,Human,201,158,Blue,Blond,-
Ms Marvel II,75,65,25,85,15,60,Sharon Ventura,good,Female,-,173,61,Blue,Red,Wanderer  former adventurer  wrestler  stunt woman  scuba diver  motorcycle performer
Multiple Man,85,15,25,70,30,65,James Arthur,good,Male,-,180,70,Blue,Brown,Private investigator (formerly) Farmer  Adventurer
Mysterio,95,10,20,40,85,70,Quentin Beck,bad,Male,Human,180,79,Brown,No Hair,Criminal; former Hollywood special effects designer and stunt man
Mystique,90,15,25,65,65,75,Raven Darkholme,bad,Female,Mutant,178,54,Yellow (without irises),Red / Orange,Special operative for Germany and the United States governments  (former) German Freedom Fighter  special operative in the Weapon X Project Team
Namor,85,95,60,70,75,85,Namor McKenzie,good,Male,Atlantean,188,125,Grey,Black,King of Atlantis  Adventurer; former warrior  commando  CEO
Namora,80,85,45,45,50,65,Aquaria Nautica Neptunia,good,Female,-,180,85,Blue,Blond,-
Namorita,80,75,50,70,40,70,Namorita Prentiss,good,Female,-,168,101,Blue,Blond,Superhero  formerly Leader of Atlantis
Naruto Uzumaki,75,90,75,80,100,100,-,good,Male,Human,178,54,Blue,Yellow,7th Hokage (Konoha's village leader)
Nebula,85,55,15,50,45,60,-,bad,Female,Luphomoid,185,83,Blue,No Hair,-
