Name,Intelligence,Strength,Speed,Durability,Power,Combat,Full name,Alignment,Gender,Race,Height (cm),Weight (kg),Eye color,Hair color,Occupation
Negasonic Teenage Warhead,80,10,10,10,45,35,-,good,Female,Mutant,0,0,Black,Black,-
Nick Fury,90,15,25,45,25,100,Nicholas Joseph Fury,good,Male,Human,185,99,Brown,Brown / White,S.H.I.E.L.D. director; former S.H.I.E.L.D. agent  intelligence agent  soldier and commando leader  parachuting instructor  stunt flyer
Nightcrawler,80,10,50,15,80,80,Kurt Wagner,good,Male,-,175,88,Yellow,Indigo,Adventurer  Teacher
Nightwing,95,15,35,30,40,100,Richard John Grayson,good,Male,Human,178,79,Blue,Black,Vigilante and detective  former police officer  former Circus Acrobat
Niki Sanders,85,55,35,30,40,60,Nicole Sanders,good,Female,-,0,0,Blue,Blond,Former casino worker and online webcam operator; currently an agent of the Company
Nina Theroux,85,5,10,10,70,20,-,good,Female,Alpha,0,0,-,-,-
Nite Owl II,85,45,40,40,50,80,Daniel Dreiberg,good,Male,-,0,0,-,-,-
Northstar,80,20,85,60,65,70,Jean-Paul Beaubier,good,Male,-,180,83,Blue,Black,Former terrorist  adventurer  teacher  businessman  novelist  professional skier  trapeze artist  thief
Nova,85,60,100,100,100,35,Frankie Raye,good,Female,Human / Cosmic,163,59,White,Red,-
Nova,100,85,75,100,100,80,Richard Rider,good,Male,Human,185,86,Brown,Brown,Superhero  also works parttime at Marvel Burger
Odin,100,85,70,95,100,90,-,good,Male,God / Eternal,206,293,Blue,White,Deity  Monarch of Asgard  Asgardian God of the Sky  Wind  Wisdom  Crafts  Time  and the Dead  Warrior
Offspring,80,10,35,100,100,60,Luke O'Brian,good,Male,-,0,0,-,-,-
Omega Red,70,70,50,85,70,90,Arkady Gregorivich,bad,Male,-,211,191,Red,Blond,Crimelord; former mercenary  KGB agent
One Punch Man,65,100,95,100,70,65,-,good,Male,Human,175,69,-,No Hair,Superhero  Sensei
One-Above-All,100,100,100,100,100,100,-,neutral,-,Cosmic Entity,0,0,-,-,-
Onslaught,95,100,35,100,100,55,Onslaught,bad,Male,Mutant,305,405,Red,No Hair,Would-be destroyer
Oracle,90,15,25,30,20,80,Barbara Gordon,good,Female,Human,178,59,Blue,Red,Computer hacker and Coordinator of the Birds of Prey; Former student; former librarian; former vigilante
Osiris,90,85,60,95,65,45,Amon Tomaz,good,Male,-,0,0,Brown,Brown,-
Ozymandias,100,20,35,20,50,95,Adrian Alexander Veidt,bad,Male,Human,0,0,Blue,Blond,-
Parademon,55,30,20,50,55,25,-,bad,-,Parademon,0,0,-,-,-
Paul Blart,50,15,25,50,10,5,-,good,Male,Human,170,117,-,-,-
Penance II,65,45,70,65,85,65,Robert Baldwin,good,Male,-,183,89,Blue,Blond,Government operative; former adventurer  reality TV star  student  television show intern  engineering intern  lab worker
Penguin,95,10,15,35,45,45,Oswald Chesterfield Cobblepot,bad,Male,Human,157,79,Blue,Black,Trader
Peter Petrelli,70,60,100,100,100,95,Peter Petrelli,good,Male,-,0,0,-,-,former home hospice nurse
Phantom,70,35,35,35,30,80,Christopher Walker,good,Male,-,0,0,-,-,-
Phantom Girl,75,10,25,30,55,45,Tinya Wazzo,good,Female,-,168,54,Blue,Black,-
Phantom Stranger,100,10,25,100,100,40,-,neutral,Male,Human,188,83,Black,Black,-
Phoenix,100,100,85,100,100,80,Jean Grey-Summers,good,Female,Mutant,168,52,Green,Red,Adventurer
Plantman,85,60,25,55,65,25,-,bad,Male,Mutant,183,87,Green,Grey,Professional Criminal  formerly Gardner
Plastic Man,80,65,25,100,100,60,Patrick O'Brian,good,Male,Human,185,80,Blue,Black,Government Agent
Plastique,80,10,25,30,60,45,Bette Sans Souci,bad,Female,-,168,55,Blue,Red,Government Agent  former Terrorist  Mercenary
Poison Ivy,95,15,30,70,100,70,Pamela Lillian Isley,bad,Female,Human,168,50,Green,Red,Criminal  Botanist
Polaris,85,75,45,50,100,45,Lorna Sally Dane,good,Female,Mutant,170,52,Green,Green,Adventurer  former U.S. government operative  former graduate student in geophysics
Power Girl,100,100,100,100,100,75,Kara Zor-L,good,Female,Kryptonian,180,81,blue,blond,-
Power Man,50,80,40,90,50,80,-,good,Male,Mutant,0,0,-,-,-
Predator,85,30,25,85,100,90,Yautja,bad,Male,Yautja,213,234,-,-,-
Professor X,100,10,15,15,100,35,Charles Francis Xavier,good,Male,Mutant,183,86,Blue,No Hair,Mutant leader  mutant rights activist  geneticist  teacher  adventurer  heir  formerly headmaster  soldier (US Army)
Professor Zoom,100,10,100,20,85,20,Eobard Thawne,bad,Male,Human,180,81,Blue,Strawberry Blond,-
Proto-Goblin,85,40,25,50,25,30,Nels Van Adder,bad,Male,-,0,0,Green,Blond,Scientist
Psylocke,85,35,25,40,100,90,Elizabeth Braddock,good,Female,Mutant,180,70,Blue,Purple,Adventurer  formerly a STRIKE operative  fashion model
Punisher,85,20,25,45,45,100,Francis Castiglione,good,Male,Human,183,90,Blue,Black,Former United States Marine turned professional vigilante
Purple Man,80,10,10,30,95,10,Zebediah Killgrave,bad,Male,Human,180,74,Purple,Purple,Professional criminal  Megalomaniac  Former spy
Pyro,75,10,15,15,55,30,St. John Allerdyce,bad,Male,-,178,68,Blue,Blond,Former government agent  terrorist  bodyguard  novelist  journalist
Q,100,15,20,100,100,40,-,-,Male,God / Eternal,0,0,-,-,-
Quake,90,40,50,45,85,90,Daisy Louise Johnson,good,Female,Human-Inhuman,163,52,Brown,Black,-
Question,95,15,30,35,20,80,Charles Victor Szasz,good,Male,Human,188,83,Blue,Blond,Former Television Investigative Journalist
Quicksilver,85,30,100,60,85,60,Pietro Django Maximoff,good,Male,Mutant,183,79,Blue,Silver,(current) Adventurer  (former) Terrorist  officer of the Inhumans militia  United States government operative
Quill,75,10,15,15,25,15,Maxwell Jordan,good,Male,-,163,56,Brown,Brown,-
Rachel Pirzad,85,5,10,10,55,10,-,good,Female,Alpha,0,0,-,-,-
Raphael,85,20,50,65,60,80,-,good,Male,Mutant,0,0,-,No Hair,-
Ra's Al Ghul,100,30,35,45,30,100,Ra's Al Ghul,bad,Male,Human,193,97,Green,Grey,Eco Terrorist  Businessman  Cult Leader
Raven,80,10,30,70,85,40,Rachel Roth,neutral,Female,Human,165,50,Indigo,Black,Adventurer  high school student
Ray,80,10,95,100,100,20,Raymond C. Terrill,good,Male,Human,178,70,Green,Red,Freelance Computer Programmer and Software Designer
Razor-Fist II,70,85,80,80,85,100,Douglas Scott,bad,Male,-,191,117,Blue,No Hair,Mercenary  assassin  bodyguard  enforcer
Red Arrow,85,20,25,20,25,80,Roy William Harper  Jr.,good,Male,Human,180,83,Green,Red,Adventurer; intelligence agent; musician
Red Hood,90,15,25,30,35,95,Jason Peter Todd,neutral,Male,Human,183,81,Blue,Black,Mercenary  Vigilante
Red Hulk,80,100,50,85,85,75,Thaddeus E. Ross,neutral,Male,Human / Radiation,213,630,Yellow,Black,Lieutenant general in US Air Force
Red Mist,65,10,25,15,20,60,Chris Genovese,bad,Male,-,0,0,-,-,-
Red Robin,95,15,30,35,30,80,Timothy Jackson Drake,good,Male,Human,165,56,Blue,Black,-
Red Skull,90,10,15,15,20,80,Johann Shmidt,bad,Male,-,188,108,Blue,No Hair,-
Red Tornado,90,40,70,60,100,40,John Smith,good,Male,Android,185,146,Green,No Hair,-
Rey,85,10,25,10,90,35,-,good,Female,Human,297,0,Hazel,Brown,Scavenger
Rhino,65,80,45,90,40,85,Aleksei Mikhailovich Sytsevich,bad,Male,Human / Radiation,196,320,Brown,Brown,Professional Criminal  Henchman of the Russian Mafia
Rick Flag,95,15,25,30,20,95,Richard Rogers Flag,bad,Male,-,185,85,Blue,Brown,Government Agent  Covert Ops field Commander
Riddler,100,10,15,15,10,15,Edward Nigma,bad,Male,-,0,0,-,-,-
Rip Hunter,100,10,10,10,100,25,-,good,Male,Human,0,0,Blue,Blond,-
Robin,95,15,30,30,35,85,Richard John Grayson,good,Male,Human,178,79,Blue,Black,-
Robin II,90,15,30,30,30,85,Jason Peter Todd,good,Male,Human,183,101,Blue,Red,-
Robin III,95,15,30,30,30,85,Timothy Jackson Drake,good,Male,Human,165,56,Blue,Black,High School Student
Robin V,85,10,35,20,30,65,Damian Wayne,good,Male,Human,137,38,Blue,Black,-
Robin VI,80,10,25,20,20,70,Carrie Kelley,neutral,Female,Human,0,0,Green,Red,-
Robocop,90,35,15,80,55,50,Alexander James Murphy,good,Male,Cyborg,188,0,-,-,-
Rocket Raccoon,80,5,25,30,30,65,Rocket Raccoon,good,Male,Animal,122,25,Brown,Brown,Law enforcement officer  security guard  member of the Guardians of the Galaxy
Rogue,90,10,15,30,80,80,Anna Marie,good,Female,-,173,54,Green,Brown / White,Adventurer  former mechanic  waitress  terrorist
Ronin,80,15,25,10,15,80,Clinton Francis Barton,good,Male,Human,191,104,Blue,Blond,Outlaw adventurer  revolutionary; former professional super hero  fugitive  unnoficial S.H.I.E.L.D. operative  federal inmate  CTE security chief  ranch hand  archery tutor  carnival performer  roustabout  butcher shop worker
Rorschach,90,10,30,20,25,80,Walter Joseph Kovacs,good,Male,Human,168,63,Blue,Red,Vigilante  former garment worker
Sabretooth,80,50,40,90,50,100,Victor Creed,bad,Male,Mutant,198,171,Amber,Blond,mercenary  professional criminal  assassin  serial killer
Sage,90,10,15,15,30,60,Tessa,good,Female,-,170,61,Blue,Black,Former Soldier
Sandman,80,75,50,95,100,60,-,neutral,Male,Human,185,203,Brown,Brown,Professional Criminal
Sasquatch,90,80,25,60,15,45,Walter Langkowski,good,Male,-,305,900,Red,Orange,Adventurer  bio-physicist  government operative; former college lecturer  professional football player
Saturn Girl,95,10,50,20,90,25,Imra Ardeen-Ranzz,good,Female,Titanian,170,59,Blue,Blond,-
Sauron,95,85,35,100,100,70,-,bad,Male,Maiar,279,0,-,-,-
Savage Dragon,85,70,55,85,70,75,Kurr,good,Male,-,0,0,-,-,-
Scarecrow,95,10,15,15,50,50,Jonathan Crane,bad,Male,Human,183,63,Blue,Brown,Special Professional Criminal
Scarlet Spider,90,55,60,75,50,60,Benjamin Reilly,good,Male,Human,178,74,Blue,Blond,Crime-fighter
Scarlet Spider II,95,55,60,40,40,60,Kaine Parker,good,Male,Clone,193,113,Brown,Brown,Fugitive
Scarlet Witch,100,10,30,70,100,80,Wanda Maximoff,bad,Female,Mutant,170,59,Blue,Brown,Adventurer; formerly witchcraft tutor  housewife  terrorist
Scorpia,75,30,45,30,35,30,Elaine Coll,bad,Female,-,0,0,Green,Red,Professional criminal
Scorpion,80,55,60,85,50,80,MacDonald Gargan,bad,Male,Human,211,310,Brown,Brown,U.S. government agent; former professional criminal  assassin  private detective
Sebastian Shaw,85,85,15,95,40,60,Sebastian Hiram Shaw,bad,Male,Mutant,0,0,-,-,-
Sentry,90,100,100,100,100,45,Robert Reynolds,good,Male,Human,188,87,Blue,Blond,-
Shadow King,90,15,30,100,100,75,Amahl Farouk,good,-,-,185,149,Red,-,-
Shadow Lass,85,10,70,20,80,80,-,good,Female,Talokite,173,54,Black,Black,-
Shadowcat,95,10,25,25,70,70,Katherine Pryde,good,Female,Mutant,168,50,Hazel,Brown,Teacher  Adventurer  former student
Shang-Chi,85,15,30,50,30,100,Shang-Chi,good,Male,Human,178,79,Brown,Black,-
Shatterstar,85,50,45,65,50,85,Gaveedra Seven,good,Male,-,191,88,Brown,Red,Warrior
Shazam,95,100,90,95,100,75,William Joseph Batson,good,Male,Human,193,101,Blue,Black,-
She-Hulk,95,100,45,100,40,70,Jennifer Walters,good,Female,Human,201,315,Green,Green,Lawyer  Magistra of the Living Tribunal
She-Ra,90,100,45,70,100,70,-,good,Female,Human,0,0,-,-,-
She-Thing,85,75,25,80,25,65,Sharon Ventura,good,Female,Human / Radiation,183,153,Blue,No Hair,Prisoner  former adventurer  wrestler  stuntwoman  scuba diver  motorcycle performer
Shocker,85,10,25,70,80,60,Herman Schultz,bad,Male,Human,175,79,Brown,Brown,Professional thief  hired assassin
Shriek,80,10,25,30,45,45,Frances Louise Barrison,good,Female,-,173,52,Yellow / Blue,Black,Former partner of Carnage  Carrion (Malcolm McBride)  Demogoblin and Doppelganger). Before she became Shriek  she was a rock band groupie and drug dealer.
Sif,85,90,70,80,100,70,Sif,good,Female,Asgardian,188,191,Blue,Black,-
Silk,90,50,75,70,75,65,-,good,Female,Human,0,0,Brown,Black,Vigilante  intern at Fact Channel News  adventurer; former student
Silk Spectre II,85,50,70,55,50,90,Laurie Juspeczyk,good,Female,-,0,0,-,-,-
Silver Surfer,80,100,100,90,100,35,Norrin Radd,good,Male,Alien,193,101,White,No Hair,Adventurer  formerly Galactus' Herald
Silverclaw,80,30,35,45,35,45,Maria de Guadalupe Santiago,good,Female,-,157,50,Brown,Black,University student  adventurer
Sinestro,90,85,55,65,100,55,Thaal Sinestro,neutral,Male,Korugaran,201,92,Black,Black,-
Siren,80,65,80,60,95,60,Hila,bad,Female,Atlantean,175,72,Blue,Purple,-
Siryn,75,10,50,30,50,45,Theresa Rourke Cassidy,bad,Female,-,168,52,Blue,Strawberry Blond,(current) Adventurer (former) Professional Criminal
Skaar,80,85,30,90,70,85,-,good,Male,-,198,180,Green,Black,Warrior
Snowbird,80,35,30,45,70,55,Narya,good,Female,-,178,49,White,Blond,Goddess  adventurer  former records officer
Sobek,80,35,25,50,20,60,Yurrd the Unknown,good,Male,-,0,0,White,No Hair,-
Solomon Grundy,55,95,15,100,95,30,Cyrus Gold,bad,Male,Zombie,279,437,Black,White,-
Songbird,90,40,30,45,55,60,Melissa Joan Gold,good,Female,-,165,65,Green,Red / White,Adventurer; former criminal and wrestler
Space Ghost,75,20,35,40,95,80,Thaddeus Bach,good,Male,Human,188,113,-,-,-
Spawn,90,75,50,100,100,100,Al Simmons,good,Male,Demon,211,405,Brown,Black,-
Spectre,95,100,100,100,100,70,-,good,Male,God / Eternal,0,0,White,No Hair,-
Speedy,80,10,35,20,30,70,Thea Dearden Queen,good,Female,Human,0,0,Green,Brown,Nightclub Owner
Spider-Carnage,65,75,70,75,70,75,Benjamin Reilly,bad,Male,Symbiote,0,0,-,-,-
Spider-Girl,85,40,60,65,55,75,May 'Mayday' Parker,good,Female,Human,170,54,Blue,Brown,-
Spider-Gwen,90,55,65,70,70,70,Gwendolyne Stacy,good,Female,Human,165,56,Blue,Blond,-
Spider-Man,85,65,75,70,70,75,-,good,-,Human,178,77,Red,Brown,CEO of Alchemax Corporation  Executive Assistant
Spider-Man,100,55,70,75,75,95,Peter Benjamin Parker,good,Male,Human,178,74,Hazel,Brown,Freelance photographer  teacher
Spider-Man,65,65,70,65,70,70,-,good,Male,Human,157,56,Brown,Black,Student  adventurer  vigilante
Spider-Woman,80,45,45,60,70,70,Jessica Drew,good,Female,Human,178,59,Green,Black,Form agent of HYDRA  former bounty hunter  private investigator  adventurer
Spider-Woman III,80,50,30,45,60,30,Martha Franklin,good,Female,-,173,55,Brown,Brown,-
Spock,95,20,20,40,60,40,-,good,Male,Human-Vulcan,185,81,Brown,Black,-
Spyke,80,15,20,60,50,30,Evan Daniels,good,Male,Mutant,183,83,Brown,Blond,-
Stardust,95,85,100,100,100,85,-,good,Male,-,0,0,-,-,Herald of Galactus
Starfire,80,80,35,85,60,70,Koriand'r,good,Female,Tamaranean,193,71,Green,Auburn,Model
Stargirl,85,80,50,90,90,70,Courtney Whitmore,good,Female,Human,165,62,Blue,Blond,-
Star-Lord,85,20,35,50,25,70,Peter Jason Quill,good,Male,Human-Spartoi,188,79,Blue,Blond,Adventurer; Royal Prince of Spartax
Static,85,10,45,50,90,40,Virgil Ovid Hawkins,good,Male,Mutant,170,63,Brown,Black,Student
Steel,95,85,55,90,65,65,John Henry Irons,good,Male,Human,201,131,Brown,No Hair,Weapons designer  former steelworker
Stephanie Powell,85,10,55,10,25,10,Stephanie Powell,good,Female,-,0,0,-,Blond,Executive Vice President of Research at Global Tech
Steppenwolf,100,100,85,100,100,100,-,bad,Male,New God,183,91,Red,Black,-
Storm,90,10,50,30,90,75,Ororo Munroe,good,Female,Mutant,180,57,Blue,White,Adventurer
Stormtrooper,60,10,10,15,5,20,-,bad,Male,Human,183,0,-,-,-
Sunspot,85,65,35,25,90,70,Roberto DaCosta,good,Male,Mutant,173,77,brown,black,Adventurer  businessman
Superboy,90,95,85,90,95,60,Kon-El / Conner Kent,good,Male,-,170,68,Blue,Black,-
Superboy-Prime,100,100,100,100,100,85,Kal-El,bad,Male,Kryptonian,180,77,Blue,Black / Blue,-
Supergirl,100,100,100,100,100,75,Kara Zor-El,good,Female,Kryptonian,165,54,Blue,Blond,Intern  Adventurer  Student  Crime-Fighter
Superman,100,100,100,100,100,85,Clark Joseph Kent (Kal-El),good,Male,Kryptonian,191,101,Blue,Black,Reporter for the Daily Planet and novelist
Surtur,95,100,60,100,100,80,-,bad,Male,God / Eternal,30480,0,Yellow,Red,Monarch of Muspelheim
Swamp Thing,95,95,25,100,100,55,Alec Holland,bad,Male,God / Eternal,0,0,Red,No Hair,Planet Elemental  former Biochemist
Swarm,90,20,50,90,40,35,Fritz von Meyer,bad,Male,Mutant,196,47,Yellow,No Hair,Ph.D. in toxicology & entomology
Sylar,90,10,15,25,85,85,Gabriel Gray,bad,Male,-,0,0,-,-,Timepiece restorer
Synch,90,70,25,30,75,60,Everett Thomas,good,Male,-,180,74,Brown,Black,Student
T-1000,90,35,35,100,100,75,Cyberdyne Systems Series 1000 Terminator,bad,Male,Android,183,146,-,-,-
T-800,90,35,20,60,75,65,Cyberdyne Systems Series 800 Terminator Model 101,bad,Male,Cyborg,0,176,Red,-,Assassin
T-850,90,80,25,90,85,75,Cyberdyne Systems Series 850 Terminator,bad,Male,Cyborg,0,198,Red,-,Assassin
Taskmaster,90,15,50,20,65,100,-,bad,Male,Human,188,99,Brown,Brown,Sheriff  Assassin  Mercenary; formerly Military Trainer  Combat Instructor  Head of Initiative training camp
Tempest,75,10,45,30,70,60,Angel Salvadore Bohusk,good,Female,-,163,54,Brown,Black,-
Thanos,100,100,35,100,100,80,Thanos,bad,Male,Eternal,201,443,Red,No Hair,Conqueror  worshiper of Death
Thanos (Infinity Gauntlet),100,100,35,100,100,80,-,bad,Male,Eternal,201,443,Red,No Hair,-
The Comedian,85,15,20,10,15,80,Edward Morgen Blake,neutral,Male,Human,188,101,Brown,Black,Former Adventurer; Government Agent
The Presence,100,100,100,100,100,100,-,neutral,Male,God / Eternal,0,0,-,-,-
Thing,90,85,25,100,40,80,Benjamin Jacob Grimm,good,Male,Human / Radiation,183,225,Blue,No Hair,Adventurer  former Air Force test pilot
Thor,85,100,85,100,100,100,Thor Odinson,good,Male,Asgardian,198,288,Blue,Blond,King of Asgard; formerly EMS Technician; Physician
Thor Girl,90,85,70,85,100,70,Tarene,good,Female,Asgardian,175,143,Blue,Blond,-
Thunderbird,80,35,30,35,15,70,John Proudstar,good,Male,-,185,101,Brown,Black,Former adventurer  student  Marine
Thunderstrike,85,80,70,85,45,75,Eric Kevin Masterson,good,Male,-,198,288,Blue,Blond,(as Thunderstrike) Adventurer  crimefighter  (as Masterson) Architect
Thundra,75,85,35,65,30,55,Thundra,good,Female,-,218,158,Green,Red,Ruler  warrior
Tiger Shark,75,75,50,70,55,30,Todd Arliss,bad,Male,Human,185,203,Grey,No Hair,-
Tigra,85,35,55,40,35,90,Greer Grant Nelson,good,Female,-,178,81,Green,Auburn,Laboratory assistant  model  adventurer  NYC police
Tinkerer,100,10,25,15,10,15,Phineas Mason,bad,Male,-,163,54,Brown,White,Inventor and technician serving the underworld
Toad,80,35,60,60,70,30,Mortimer Toynbee,neutral,Male,Mutant,175,76,Black,Brown,Former criminal
Toxin,80,75,70,85,85,70,Patrick Mulligan,good,Male,Symbiote,188,97,Blue,Brown,Police officer
Toxin,90,80,45,85,100,70,Edward Charles Allan Brock,good,Male,Symbiote,191,117,Black,Blond,Vigilante; former symbiote hunter  shelter attendant  government operative  journalist for the Daily Globe
Tracy Strauss,80,55,65,95,90,60,Tracy Strauss,good,Female,-,0,0,-,-,Former aide to Senator Nathan Petrelli  Former Pinehearst consultant  former political adviser to Governor Robert Malden
Trigon,95,100,85,100,100,80,-,bad,Male,God / Eternal,0,0,Yellow,Black,-
Triplicate Girl,85,10,25,45,45,45,Luornu Durgo,good,Female,-,168,59,Purple,Brown,-
Triton,80,65,50,65,35,55,-,good,Male,Inhuman,188,86,Green,No Hair,-
Two-Face,95,10,15,15,10,30,Harvey Dent,bad,Male,-,183,82,-,-,Reformed criminal; former district attorney
T-X,90,65,30,85,100,80,Cyberdyne Systems Series X Terminator,bad,Female,Cyborg,0,149,-,-,Assassin / Genesis Overseer
Ultragirl,80,80,35,70,35,80,Tsu-Zana,good,Female,-,168,105,Blue,Blond,Model
Ultron,95,85,45,100,100,65,Ultron,bad,Male,Android,206,331,Red,-,Mass murderer  scientist  would-be world conqueror  ruler of Phalanx
Utgard-Loki,80,80,25,85,85,65,-,bad,Male,Frost Giant,1520,58000,Blue,White,Monarch
Valkyrie,75,85,75,85,75,95,Brunnhilde,good,Female,-,191,214,Blue,Blond,Chooser of the Slain  Adventurer
Vanisher,85,10,75,60,65,45,-,bad,Male,-,165,79,Green,No Hair,Professional criminal  former subversive
Vegeta,95,100,95,95,100,100,-,bad,Male,Saiyan,168,73,-,Black,-
Venom,90,60,65,85,90,85,Edward Charles Allan Brock,bad,Male,Symbiote,191,117,Blue,Strawberry Blond,Vigilante; former journalist for the Daily Globe  government operative
Venom II,80,60,50,70,55,60,Angelo Fortunato,bad,Male,-,175,50,Brown,Black,-
Venom III,85,75,35,90,75,60,MacDonald Gargan,bad,Male,Symbiote,229,334,Brown,Brown,Government operative; former professional criminal  private eye
Venompool,85,60,65,100,100,100,-,-,Male,Symbiote,226,0,-,-,Conqueror; Adventurer
Vibe,80,10,20,30,100,30,Francisco Paco Ramon,good,Male,Human,178,71,Brown,Black,-
Vindicator,85,65,55,65,60,70,Heather McNeil Hudson,good,Female,Human,165,54,Green,Red,former secretary  researcher
Violator,55,65,25,80,85,30,-,bad,Male,-,0,0,-,-,-
Violet Parr,80,10,15,50,80,15,Violet Parr,good,Female,Human,137,41,Violet,Black,-
Vision,100,75,55,95,100,70,Vision,good,Male,Android,191,135,Gold,No Hair,-
Vixen,80,40,50,50,65,25,Mari Jiwe McCabe,good,Female,Human,175,63,Amber,Black,Former Model
Vulcan,70,70,75,90,100,75,Gabriel Summers,good,Male,-,0,0,Black,Black,-
Vulture,90,25,45,25,30,30,Adrian Toomes,bad,Male,Human,180,79,Brown,No Hair,Professional criminal; formerly electronics engineer
Walrus,80,30,10,50,15,20,Hubert Carpent,bad,Male,Human,183,162,Blue,Black,Cab driver
War Machine,85,80,65,100,100,85,James Rupert Rhodes,good,Male,Human,185,95,Brown,Brown,Initiative instructor  adventurer  government agent; formerly: Sentinel Squad O*N*E combat instructor  soldier  pilot
Warlock,95,40,80,95,75,95,Adam Warlock,good,Male,-,188,108,Red,Blond,Avenger  savior of worlds
Warp,75,10,25,30,85,50,Emil LaSalle,bad,Male,-,173,67,Brown,Black,-
Warpath,75,75,50,70,30,85,James Proudstar,good,Male,Mutant,218,158,Brown,Black,Adventurer
Wasp,85,20,60,55,30,45,Janet Van Dyne,good,Female,Human,163,50,Blue,Auburn,Adventurer  fashion designer  independently wealthy socialite
Watcher,100,80,70,90,100,60,Uatu,good,Male,-,0,0,-,-,-
Weapon XI,80,65,65,100,95,100,Weapon XI,bad,Male,-,0,0,-,-,-
White Canary,85,10,35,15,50,90,-,bad,Female,Human,0,0,Brown,Black,-
White Queen,80,45,45,70,65,45,Emma Grace Frost,good,Female,-,178,65,Blue,Blond,Co-Headmistress of Xavier Institute  Chairperson of the Board and Chief Executive of Frost International
Wildfire,80,35,25,100,80,45,Drake Burroughs,good,Male,-,0,0,-,-,-
Winter Soldier,80,35,35,65,60,85,James Buchanan Barnes,good,Male,Human,175,117,Brown,Brown,"Adventurer; former SHIELD operative  Assassin (See Note under ""Winter Soldier"" article)  Army Mascot  Student"
Wolfsbane,75,20,35,45,30,45,Rahne Sinclair,good,Female,-,366,473,Green,Auburn,Teacher
Wolverine,85,35,50,100,90,100,James Howlett,good,Male,Mutant,160,135,Blue,Black,Adventurer  instructor  former bartender  bouncer  spy  government operative  mercenary  soldier  sailor  miner
Wonder Girl,90,90,25,80,40,60,Cassandra Elizabeth Sandsmark,good,Female,Demi-God,165,51,Blue,Blond,-
Wonder Man,90,100,55,90,65,65,Simon Williams,good,Male,-,188,171,Red,Black,Former industrialist  now stuntman  actor  adventurer
Wonder Woman,95,100,80,100,100,100,Diana of Themyscira,good,Female,Amazon,183,74,Blue,Black,Adventurer  Emissary to the world of Man  Protector of Paradise Island; former Goddess of Truth
Wyatt Wingfoot,60,10,15,5,5,60,Wyatt Wingfoot,good,Male,-,196,117,Brown,Black,Occasional adventurer
X-23,90,25,45,100,55,95,Laura Kinney,good,Female,Mutant / Clone,155,50,Green,Black,Adventurer  Student  former; Assassin  Prostitute
X-Man,95,55,55,95,100,85,Nate Grey,good,Male,-,175,61,Blue,Brown,Former shaman  adventurer  freedom fighter
Yellowjacket,95,10,15,30,15,15,Henry Jonathan Pym,good,Male,Human,183,83,Blue,Blond,Adventurer  Biochemist  former manager of Avengers Compound
Yellowjacket II,80,10,35,30,35,30,Rita DeMara,good,Female,Human,165,52,Blue,Strawberry Blond,Adventurer; former criminal  electronics engineer
Ymir,80,100,30,100,100,30,Ymir,good,Male,Frost Giant,30480,0,White,No Hair,-
Yoda,95,55,35,25,100,90,Yoda,good,Male,Yoda's species,66,17,Brown,White,-
Zatanna,95,10,25,30,100,60,Zatanna Zatara,good,Female,Human,170,57,Blue,Black,-
Zoom,80,10,100,30,100,30,Hunter Zolomon,bad,Male,-,185,81,Red,Brown,-
